Var1,out_tab1,out_tab2,out_tab3,out_tab4,out_tab5,out_tab6,out_tab7,out_tab8,out_tab9,out_tab10,out_tab11,out_tab12,out_tab13,out_tab14,out_tab15,out_tab16,out_tab17,out_tab18,out_tab19,out_tab20
EX_ade_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_4abut_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_ac_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_akg_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_ala__L_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_arg__L_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_asp__L_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_cytd_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_dcyt_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_fum_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_glu__L_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_gua_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HCO3E,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IMPC,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IMPD,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ECOAH4,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GLUTRS,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TMPPP,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
URIK1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
URIK2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CYTDK1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CYTDK2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XPPT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HXPRT,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NDPK5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DHORTS,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OMPDC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CS,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ICDHyr,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACALD,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACS,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PPA,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PPCK,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ME1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALAR,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALATA_L,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XYLK,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RBK,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GLYK,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PPM,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASPTA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBP,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GLGC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PYK,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A5PISO,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_met__L_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_metsox_S__L_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IPPMIb,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACHBS,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACLS,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PSCVT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANS,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANPRT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHORM,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHORS,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IGPS,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_crn_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_fe3_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_glcn_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_gln__L_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_glyc_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_man_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_mn2_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_rib__D_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_sbt__D_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ECOAH6,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENO,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGSA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PPS,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PGI,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PGK,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PGL,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RPE,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TALA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TKT1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G6PDA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALCD2x,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALDD2y,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RMI,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_ura_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_val__L_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_xan_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FMNAT,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NADDP,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NMNAT,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HMPK1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NDPK6,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NDPK8,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PYNP2r,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DURIPP,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PTRCTA,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CYSDS,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRPAS2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NDP3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CDPPH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NDP7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_co2_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PMDPHT,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ILETA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VALTA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ORPT,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RBFSa,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DHAD2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G1PP,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PFL,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FRD2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FRD3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POX,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PTAr,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACKr,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_hxan_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_ile__L_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_lac__L_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_leu__L_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_no3_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_orn_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_pro__L_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_pyr_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_succ_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_thymd_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_tyr__L_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOAT,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UDCPDPS,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
USHD,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LPADSS,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TDSK,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_btn_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_ptrc_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_spmd_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_thym_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_xtsn_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NTPP1,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NTPP2,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NTPTP1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NTPTP2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IPMD,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AIRC3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADSL2r,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_fe2_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PUNP5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PUNP6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PUNP7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RNDR1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RNDR3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RNDR4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TMDS,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TMDK1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PPCDC,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FTHFD,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_glc__D_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDD,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DHQTi,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PUNP1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PUNP2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PUNP3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LYSAM,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DHAD1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IPPMIa,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_alltn_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G3PD7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NADH9,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NADH10,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MDH,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUM,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PYDXNK,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PYAM5PO,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OHPBAT,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_dgsn_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_arab__L_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_fru_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_gal_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_xyl__D_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_duri_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_for_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_gly_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_h2_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_lys__L_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_ser__L_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_thm_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_trp__L_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GLUTRR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GLCS1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GLCP,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_din_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_fmn_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_gthox_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HEMEOS,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADMDC,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGMT,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARGDC,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARGSS,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGPR,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPMS,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G1SAT,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KDOCT2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OAADC,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MNNH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALTRH,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GUI1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PGAMT,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UAGDP,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UAGCVT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GLUR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UAG2E,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_acald_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_melib_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MACPD,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DMQMT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ICHORS_copy1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_sucr_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_tre_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX_zn2_e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HACD5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DNMPPA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPPK2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PTPATi,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HEX7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXPRIi,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OPHBDC,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OHPHM,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GHMT2r,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DHORD2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADK4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INSK,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABTA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSALx,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASPT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SERD_L,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
THRD,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HEX4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KARA1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KARA2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACCOAC,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NADK,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ICHORS_copy2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SUCBZS,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DHBD,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ICHORT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RBK_L1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RBP4E,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NTD2,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NTD4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NTD5,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NTD6,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGTHL,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PYDXPP,2,3,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PDXPP,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HACD6,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ECOAH1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ECOAH2,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ECOAH3,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UGLT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXPS,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CDPMEK,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MECDPS,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DDGLK,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XYLI2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PMANM,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ICL,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GLYCL,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CMPN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HCYSMT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
